text,next_word
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 810, 605]",[2026]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 810, 605, 2026]",[2474]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 810, 605, 2026, 2474]",[2957]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 810, 605, 2026, 2474, 2957]",[1193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1182]",[1329]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1182, 1329]",[825]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1182, 1329, 825]",[1650]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1182, 1329, 825, 1650]",[186]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1182, 1329, 825, 1650, 186]",[1916]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1182, 1329, 825, 1650, 186, 1916]",[71]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1182, 1329, 825, 1650, 186, 1916, 71]",[399]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1182, 1329, 825, 1650, 186, 1916, 71, 399]",[2695]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934]",[2655]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2655]",[2866]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2655, 2866]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2655, 2866, 193]",[84]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2655, 2866, 193, 84]",[2596]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2655, 2866, 193, 84, 2596]",[2582]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193]",[2220]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 2220]",[2860]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 2220, 2860]",[2260]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 2220, 2860, 2260]",[3005]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 2220, 2860, 2260, 3005]",[178]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 2220, 2860, 2260, 3005, 178]",[545]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128]",[2560]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2560]",[825]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2560, 825]",[186]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2560, 825, 186]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2560, 825, 186, 193]",[1846]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2560, 825, 186, 193, 1846]",[2805]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2560, 825, 186, 193, 1846, 2805]",[399]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2560, 825, 186, 193, 1846, 2805, 399]",[2707]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2560, 825, 186, 193, 1846, 2805, 399, 2707]",[1174]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178]",[2922]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 2922]",[1580]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 2922, 1580]",[2876]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 2922, 1580, 2876]",[2457]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 2922, 1580, 2876, 2457]",[940]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 2922, 1580, 2876, 2457, 940]",[2474]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 2922, 1580, 2876, 2457, 940, 2474]",[2067]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 2922, 1580, 2876, 2457, 940, 2474, 2067]",[1332]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754]",[1226]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1226]",[1804]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1226, 1804]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1226, 1804, 193]",[1645]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1226, 1804, 193, 1645]",[178]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1226, 1804, 193, 1645, 178]",[950]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1226, 1804, 193, 1645, 178, 950]",[2026]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1226, 1804, 193, 1645, 178, 950, 2026]",[59]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1226, 1804, 193, 1645, 178, 950, 2026, 59]",[94]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485]",[2614]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 2614]",[2304]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 2614, 2304]",[1184]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 2614, 2304, 1184]",[2269]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 2614, 2304, 1184, 2269]",[1916]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 2614, 2304, 1184, 2269, 1916]",[2505]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 2614, 2304, 1184, 2269, 1916, 2505]",[2383]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 2614, 2304, 1184, 2269, 1916, 2505, 2383]",[2446]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 2614, 2304, 1184, 2269, 1916, 2505, 2383, 2446]",[1069]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 685]",[2026]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 685, 2026]",[178]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 685, 2026, 178]",[2957]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 685, 2026, 178, 2957]",[1406]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934]",[585]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 585]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 585, 193]",[487]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 585, 193, 487]",[825]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 585, 193, 487, 825]",[68]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 585, 193, 487, 825, 68]",[808]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 585, 193, 487, 825, 68, 808]",[59]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 585, 193, 487, 825, 68, 808, 59]",[2335]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 585, 193, 487, 825, 68, 808, 59, 2335]",[2163]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178]",[1430]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1430]",[534]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1430, 534]",[1053]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1430, 534, 1053]",[417]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399]",[490]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 490]",[962]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 490, 962]",[2525]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 490, 962, 2525]",[825]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 490, 962, 2525, 825]",[1282]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 490, 962, 2525, 825, 1282]",[314]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193]",[1544]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 1544]",[2616]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 1544, 2616]",[2335]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 1544, 2616, 2335]",[1824]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 1544, 2616, 2335, 1824]",[718]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 1913, 193, 1544, 2616, 2335, 1824, 718]",[1916]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754]",[2344]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 2344]",[3005]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 2344, 3005]",[2383]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 2344, 3005, 2383]",[1161]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 2344, 3005, 2383, 1161]",[2195]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178]",[1742]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1742]",[534]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1742, 534]",[2011]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1742, 534, 2011]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1742, 534, 2011, 193]",[2474]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1742, 534, 2011, 193, 2474]",[1867]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1742, 534, 2011, 193, 2474, 1867]",[2508]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485]",[487]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 487]",[385]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 487, 385]",[137]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 487, 385, 137]",[1050]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 487, 385, 137, 1050]",[534]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 487, 385, 137, 1050, 534]",[825]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 487, 385, 137, 1050, 534, 825]",[1396]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 487, 385, 137, 1050, 534, 825, 1396]",[940]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485, 487, 385, 137, 1050, 534, 825, 1396, 940]",[2560]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934]",[2608]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2608]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2608, 193]",[755]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2608, 193, 755]",[399]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2608, 193, 755, 399]",[2883]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2608, 193, 755, 399, 2883]",[855]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2608, 193, 755, 399, 2883, 855]",[808]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2608, 193, 755, 399, 2883, 855, 808]",[399]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 2608, 193, 755, 399, 2883, 855, 808, 399]",[2707]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128]",[2724]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2724]",[2596]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2724, 2596]",[167]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2724, 2596, 167]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2724, 2596, 167, 193]",[30]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2724, 2596, 167, 193, 30]",[59]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 2724, 2596, 167, 193, 30, 59]",[1812]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178]",[1873]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1873]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1873, 193]",[59]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1873, 193, 59]",[2707]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1873, 193, 59, 2707]",[124]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1873, 193, 59, 2707, 124]",[261]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1873, 193, 59, 2707, 124, 261]",[773]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1873, 193, 59, 2707, 124, 261, 773]",[1068]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 1719, 193]",[1358]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 1719, 193, 1358]",[178]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 1719, 193, 1358, 178]",[1726]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 1719, 193, 1358, 178, 1726]",[2026]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 1719, 193, 1358, 178, 1726, 2026]",[825]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 1719, 193, 1358, 178, 1726, 2026, 825]",[770]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 1719, 193, 1358, 178, 1726, 2026, 825, 770]",[808]
"[0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 1719, 193, 1358, 178, 1726, 2026, 825, 770, 808]",[3035]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399]",[1438]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 1438]",[3005]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 1438, 3005]",[1038]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 1438, 3005, 1038]",[124]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 1438, 3005, 1038, 124]",[2876]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399, 1438, 3005, 1038, 124, 2876]",[2731]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934]",[331]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 331]",[137]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 331, 137]",[2552]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 331, 137, 2552]",[693]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 331, 137, 2552, 693]",[2495]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 331, 137, 2552, 693, 2495]",[862]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 331, 137, 2552, 693, 2495, 862]",[59]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, 934, 331, 137, 2552, 693, 2495, 862, 59]",[1628]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2614]",[2304]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304]",[1184]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304, 1184]",[2269]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304, 1184, 2269]",[157]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304, 1184, 2269, 157]",[2849]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304, 1184, 2269, 157, 2849]",[2834]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304, 1184, 2269, 157, 2849, 2834]",[1916]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304, 1184, 2269, 157, 2849, 2834, 1916]",[1680]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304, 1184, 2269, 157, 2849, 2834, 1916, 1680]",[2246]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304, 1184, 2269, 157, 2849, 2834, 1916, 1680, 2246]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 2614, 2304, 1184, 2269, 157, 2849, 2834, 1916, 1680, 2246, 193]",[84]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178]",[1186]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1186]",[193]
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 1186, 193]",[497]
